1,imtheboss,12345,Peter,,Sy,3679078,ceo@globemaster.com,"1106 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",1
2,wifeofboss,12345,Myriam,Licayan,Sy,3678088,cfo@globemaster.com,"1107 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",2
3,childofowner,12345,Patricia,Licayan,Sy,3679078,marketing@globemaster.com,"1108 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",3
4,sales1,12345,Rosenda,Mabag,Modena,3679078,sales@globemaster.com,"1109 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",4
5,sales2,12345,Aubrey,Hannah,Kibler,3679078,sales@globemaster.com,"1110 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",4
6,sales3,12345,Keller,Wong,Edwards,3679078,sales@globemaster.com,"1111 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",4
7,inv1,12345,Marshall,,Law,9228646395,inventory@globemaster.com,"8440, Manila S Rd, Calamba, 4027 Laguna",5
8,inv2,12345,Paul,,Phoenix,9228646395,inventory@globemaster.com,"8440, Manila S Rd, Calamba, 4027 Laguna",5
9,inv3,12345,Lee,Chow,Lan,9228646395,inventory@globemaster.com,"8440, Manila S Rd, Calamba, 4027 Laguna",5
10,drv1,12345,Juan,Dela,Cruz,3678088,juan@globemaster.com,"1106 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",6
11,drv2,12345,Anthony,,Samper,3678088,anthony@globemaster.com,"1107 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",6
12,drv3,12345,Emiliano,Hesus,Dela Paz,3678088,emiliano@globemaster.com,"1108 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",6
13,drv4,12345,Jojo,Joseph,Torres,3678088,jojo@globemaster.com,"1109 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",6
14,drv5,12345,Jesus,Joseph,Marytes,3678088,jejomar@globemaster.com,"1110 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila",6
